time,potential,pair
9/27/2023 11:12,-223,2 to 4
9/27/2023 11:13,462,76.2 to 78.2
9/27/2023 11:14,1790,152.4 to 154.4
9/27/2023 11:15,1530,226.6 to 228.6
9/27/2023 11:16,2210,2 to 78.2
9/27/2023 11:17,2380,2 to 154.4
9/27/2023 11:18,2570,2 to 228.6
9/27/2023 12:12,-235,2 to 4
9/27/2023 12:13,431,76.2 to 78.2
9/27/2023 12:14,1460,152.4 to 154.4
9/27/2023 12:15,2160,226.6 to 228.6
9/27/2023 12:16,2310,2 to 78.2
9/27/2023 12:17,2510,2 to 154.4
9/27/2023 12:18,2630,2 to 228.6
9/27/2023 14:12,-244,2 to 4
9/27/2023 14:13,423,76.2 to 78.2
9/27/2023 14:14,1430,152.4 to 154.4
9/27/2023 14:15,980,226.6 to 228.6
9/27/2023 14:16,2590,2 to 78.2
9/27/2023 14:17,2860,2 to 154.4
9/27/2023 14:18,2760,2 to 228.6
9/27/2023 15:12,-225,2 to 4
9/27/2023 15:13,429,76.2 to 78.2
9/27/2023 15:14,1150,152.4 to 154.4
9/27/2023 15:15,710,226.6 to 228.6
9/27/2023 15:16,2660,2 to 78.2
9/27/2023 15:17,2890,2 to 154.4
9/27/2023 15:18,2680,2 to 228.6
9/27/2023 16:12,-223,2 to 4
9/27/2023 16:13,431,76.2 to 78.2
9/27/2023 16:14,1500,152.4 to 154.4
9/27/2023 16:15,650,226.6 to 228.6
9/27/2023 16:16,2680,2 to 78.2
9/27/2023 16:17,2900,2 to 154.4
9/27/2023 16:18,2730,2 to 228.6
9/27/2023 18:12,-205,2 to 4
9/27/2023 18:13,460,76.2 to 78.2
9/27/2023 18:14,1480,152.4 to 154.4
9/27/2023 18:15,324,226.6 to 228.6
9/27/2023 18:16,2730,2 to 78.2
9/27/2023 18:17,2970,2 to 154.4
9/27/2023 18:18,2830,2 to 228.6
9/27/2023 19:12,-209,2 to 4
9/27/2023 19:13,465,76.2 to 78.2
9/27/2023 19:14,1320,152.4 to 154.4
9/27/2023 19:15,376,226.6 to 228.6
9/27/2023 19:16,2630,2 to 78.2
9/27/2023 19:17,2840,2 to 154.4
9/27/2023 19:18,2710,2 to 228.6
9/27/2023 20:12,-213,2 to 4
9/27/2023 20:13,429,76.2 to 78.2
9/27/2023 20:14,-155,152.4 to 154.4
9/27/2023 20:15,840,226.6 to 228.6
9/27/2023 20:16,2590,2 to 78.2
9/27/2023 20:17,2810,2 to 154.4
9/27/2023 20:18,2570,2 to 228.6
9/27/2023 22:12,-187,2 to 4
9/27/2023 22:13,448,76.2 to 78.2
9/27/2023 22:14,-242,152.4 to 154.4
9/27/2023 22:15,787,226.6 to 228.6
9/27/2023 22:16,2640,2 to 78.2
9/27/2023 22:17,2830,2 to 154.4
9/27/2023 22:18,2560,2 to 228.6
